title,genre,year,director
Donnie Darko,"Drama, Mystery, Sci-Fi",2001.0,Richard Kelly
Dancer in the Dark,"Crime, Drama, Musical",2000.0,Lars von Trier
Knives Out,"Comedy, Crime, Drama",2019.0,Rian Johnson
Dil Bechara,"Comedy, Drama, Romance",2020.0,Mukesh Chhabra
Manbiki kazoku,"Crime, Drama",2018.0,Hirokazu Koreeda
Marriage Story,"Comedy, Drama, Romance",2019.0,Noah Baumbach
Call Me by Your Name,"Drama, Romance",2017.0,Luca Guadagnino
"I, Daniel Blake",Drama,2016.0,Ken Loach
Isle of Dogs,"Animation, Adventure, Comedy",2018.0,Wes Anderson
Hunt for the Wilderpeople,"Adventure, Comedy, Drama",2016.0,Taika Waititi
Captain Fantastic,"Comedy, Drama",2016.0,Matt Ross
Sing Street,"Comedy, Drama, Music",2016.0,John Carney
Thor: Ragnarok,"Action, Adventure, Comedy",2017.0,Taika Waititi
Nightcrawler,"Crime, Drama, Thriller",2014.0,Dan Gilroy
Jojo Rabbit,"Comedy, Drama, War",2019.0,Taika Waititi
Arrival,"Drama, Sci-Fi",2016.0,Denis Villeneuve
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",2015.0,J.J. Abrams
Before Midnight,"Drama, Romance",2013.0,Richard Linklater
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",2014.0,Bryan Singer
Bir Zamanlar Anadolu'da,"Crime, Drama",2011.0,Nuri Bilge Ceylan
The Artist,"Comedy, Drama, Romance",2011.0,Michel Hazanavicius
Edge of Tomorrow,"Action, Adventure, Sci-Fi",2014.0,Doug Liman
Amour,"Drama, Romance",2012.0,Michael Haneke
The Irishman,"Biography, Crime, Drama",2019.0,Martin Scorsese
Un prophète,"Crime, Drama",2009.0,Jacques Audiard
Moon,"Drama, Mystery, Sci-Fi",2009.0,Duncan Jones
Låt den rätte komma in,"Crime, Drama, Fantasy",2008.0,Tomas Alfredson
District 9,"Action, Sci-Fi, Thriller",2009.0,Neill Blomkamp
The Wrestler,"Drama, Sport",2008.0,Darren Aronofsky
Jab We Met,"Comedy, Drama, Romance",2007.0,Imtiaz Ali
Boyhood,Drama,2014.0,Richard Linklater
"4 luni, 3 saptamâni si 2 zile",Drama,2007.0,Cristian Mungiu
Star Trek,"Action, Adventure, Sci-Fi",2009.0,J.J. Abrams
In Bruges,"Comedy, Crime, Drama",2008.0,Martin McDonagh
The Man from Earth,"Drama, Fantasy, Mystery",2007.0,Richard Schenkman
